s0,human_ans,Paraphrase T5 E3,Paraphrase T5 E5,Paraphrase Bart E1,Paraphrase Bart E3,Highest ChrF T5 E3,Highest ChrF T5 E5,Highest ChrF Bart E1,Highest ChrF Bart E3
"That, after all, is what Don McLean did so brilliantly in ‘American Pie’, a personal *reaction* to ‘the day the music died’.",['response'],response,response,response,reply,100.0,100.0,100.0,11.23518687
Right on top of him and it turned round and *smacked*,['hit' 'bumped'],screamed,screamed,hit,hit,10.89991409,10.89991409,100.0,100.0
"Electors are always *prepared* to criticise the Government in answer to pollsters' questions, but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power.",['ready' 'quick' 'willing'],prepared,prepared,ready,ready,18.63905325,18.63905325,100.0,100.0
"Electors are always *prepared* to criticise the Government in answer to pollsters' questions, but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power.",['ready' 'quick' 'willing'],prepared,prepared,ready,ready,18.63905325,18.63905325,100.0,100.0
"It mostly seems to involve producing food for animals to eat, whose excrement is then collected to *assist* the growth of more food for animals.",['help' 'aid'],help,help,bring,help,100.0,100.0,9.80392157,100.0
"Thus stated, there is no reference to the defendant's intention or awareness of the risks: the fact that D has chosen to commit rape, robbery, or another serious offence, and has caused death thereby, is held to constitute sufficient moral grounds for *placing* the killing in the highest category.",['putting' 'classifying'],placing,placing,putting,putting,18.41269841,18.41269841,100.0,100.0
Y you're absolutely right *there*.,['here'],here,here,there,here,100.0,100.0,91.367713,100.0
"The Masai, Sentue, finds this *hard* to believe.",['difficult'],difficult,difficult,difficult,difficult,100.0,100.0,100.0,100.0
"He finds it *hard* to communicate with people, not least his separated parents.",['difficult'],difficult,difficult,difficult,difficult,100.0,100.0,100.0,100.0
Erm *there* you go.,['here'],where,where,there,here,91.367713,91.367713,91.367713,100.0
"Prestige comes in the *shape* of a Mercedes with the 240D or ‘Stuttgart Taxi’, commanding £7,000 but returning unfailing reliability.",['form'],shape,shape,face,form,0.0,0.0,6.25,100.0
There is still endless dithering on how *broad* a ‘safety net’ Britain will extend to its citizens.,['wide'],large,large,safe,wide,5.95238095,5.95238095,6.25,100.0
"The physicality so characteristic of Kahlo's work is missing, no flesh, no blood, just the tawdriness of the peeling poster and the *hollow* reminder of lost Liberty.",['empty'],suffocating,tense,hollow,empty,3.22580645,8.0,0.0,100.0
